status,reason,category,subcategory,prefab_name,prefab_path,canonical_path,width,height,depth
"excluded","internal_part_prefab","","","Rock_A_Fractured","Assets/BornToDig/DestructiblePebbles/Prefabs/Rock_A_Fractured.prefab","",0,0,0
"excluded","internal_part_prefab","","","Rock_B_Fractured","Assets/BornToDig/DestructiblePebbles/Prefabs/Rock_B_Fractured.prefab","",0,0,0
"excluded","internal_part_prefab","","","Rock_C_Fractured","Assets/BornToDig/DestructiblePebbles/Prefabs/Rock_C_Fractured.prefab","",0,0,0
"excluded","test_or_sample_prefab","","","PebbleRockCluster_Test","Assets/BornToDig/DestructiblePebbles/Test/Prefabs/PebbleRockCluster_Test.prefab","",0,0,0
"excluded","duplicate_static_visual","","","SFFA_Table_Modular_002","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Modular Table/Table + Cabinet/SFFA_Table_Modular_002.prefab","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Modular Table/SFFA_Table_Modular_002 1.prefab",0,0,0
"excluded","duplicate_static_visual","","","SFI_Table_S_006","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Interior Pack - Low Poly 3D Art/Prefabs/Furniture/Tables/SFI_Table_S_006.prefab","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Interior Pack - Low Poly 3D Art/Prefabs/Furniture/Tables/SFI_Table_S_006 1.prefab",0,0,0
"excluded","duplicate_static_visual","","","SFV_Watermill_Base 1","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Village - Low Poly 3D Art/Prefabs/Buildings/Building Attachables/Watermill/Static Objects/SFV_Watermill_Base 1.prefab","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Village - Low Poly 3D Art/Prefabs/Buildings/Building Attachables/Watermill/Static Objects/SFV_Watermill.prefab",0,0,0
"excluded","duplicate_static_visual","","","SFV_Window4_Wooden_M_007","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Village - Low Poly 3D Art/Prefabs/Buildings/Walls/Wooden/Windows/SFV_Window4_Wooden_M_007.prefab","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Village - Low Poly 3D Art/Prefabs/Buildings/Walls/Wooden/Windows/Glass/SFV_Window4_Wooden_M_007.prefab",0,0,0
"excluded","duplicate_static_visual","","","AWS_Cauldron_Prop_001","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED The Alchemist's Workshop - Low Poly 3D Art/Prefabs/Props/Alchemy Props/Cauldron/AWS_Cauldron_Prop_001.prefab","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED The Alchemist's Workshop - Low Poly 3D Art/Prefabs/Props/Alchemy Props/Cauldron/AWS_Cauldron_Prop_001 (1).prefab",0,0,0
"excluded","duplicate_static_visual","","","AWS_Coin_002 2","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED The Alchemist's Workshop - Low Poly 3D Art/Prefabs/Props/Decorative Props/Coins/AWS_Coin_002 2.prefab","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED The Alchemist's Workshop - Low Poly 3D Art/Prefabs/Props/Decorative Props/Coins/AWS_Coin_002 1.prefab",0,0,0
"excluded","duplicate_static_visual","","","AWS_Oven 2","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED The Alchemist's Workshop - Low Poly 3D Art/Prefabs/Props/Furniture/Oven/AWS_Oven 2.prefab","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED The Alchemist's Workshop - Low Poly 3D Art/Prefabs/Props/Furniture/Oven/AWS_Oven 1.prefab",0,0,0
"excluded","player_prefab","","","MVP_FPS_Player","Assets/FpsCharacterMVP/Prefabs/MVP_FPS_Player.prefab","",0,0,0
"placed","","Rocks","RocksOther","Rock_A_Intact","Assets/BornToDig/DestructiblePebbles/Prefabs/Rock_A_Intact.prefab","",0.52,0.266,0.506
"placed","","Rocks","RocksOther","Rock_B_Intact","Assets/BornToDig/DestructiblePebbles/Prefabs/Rock_B_Intact.prefab","",0.52,0.13,0.51
"placed","","Rocks","RocksOther","Rock_C_Intact","Assets/BornToDig/DestructiblePebbles/Prefabs/Rock_C_Intact.prefab","",0.52,0.222,0.327
"placed","","Other","Other","GoldNugget_MVP","Assets/BornToDig/GoldNuggetMVP/Prefabs/GoldNugget_MVP.prefab","",0.52,0.492,0.48
"placed","","Other","Other","SFFA_Armor_001","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Armature/SFFA_Armor_001.prefab","",0.94,2.243,1.228
"placed","","Other","Other","SFFA_Armor_002","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Armature/SFFA_Armor_002.prefab","",0.94,2.243,1.228
"placed","","Props","PropsOther","SFFA_Bag","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bag/SFFA_Bag.prefab","",0.463,0.464,0.47
"placed","","Decorations","Decorations","SFFA_Banner","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Banner/SFFA_Banner.prefab","",0.091,2.697,0.42
"placed","","Props","Barrels","SFFA_Barrel","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Barrel/Individual Parts/SFFA_Barrel.prefab","",0.773,0.971,0.938
"placed","","Props","Barrels","SFFA_Barrel_Lid","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Barrel/Individual Parts/SFFA_Barrel_Lid.prefab","",0.528,0.049,0.53
"placed","","Props","Barrels","SFFA_Barrel","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Barrel/SFFA_Barrel.prefab","",0.773,0.971,0.938
"placed","","Props","Barrels","SFFA_Beer_Barrel","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Barrel/SFFA_Beer_Barrel.prefab","",0.662,0.585,0.464
"placed","","Other","Other","SFFA_Bronze_Bar","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bars and Rods/Bars/SFFA_Bronze_Bar.prefab","",0.107,0.068,0.221
"placed","","Other","Other","SFFA_Gold_Bar","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bars and Rods/Bars/SFFA_Gold_Bar.prefab","",0.107,0.068,0.221
"placed","","Other","Other","SFFA_Iron_Bar","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bars and Rods/Bars/SFFA_Iron_Bar.prefab","",0.107,0.068,0.221
"placed","","Other","Other","SFFA_Rod_001","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bars and Rods/Rods/SFFA_Rod_001.prefab","",0.048,0.046,1.029
"placed","","Other","Other","SFFA_Rod_002 1","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bars and Rods/Rods/SFFA_Rod_002 1.prefab","",0.036,0.869,0.153
"placed","","Other","Other","SFFA_Rod_002","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bars and Rods/Rods/SFFA_Rod_002.prefab","",0.036,0.869,0.153
"placed","","Other","Other","SFFA_Rod_003 1","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bars and Rods/Rods/SFFA_Rod_003 1.prefab","",0.048,0.046,1.029
"placed","","Other","Other","SFFA_Rod_003","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bars and Rods/Rods/SFFA_Rod_003.prefab","",0.048,0.046,1.029
"placed","","Other","Other","SFFA_Rod_004","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bars and Rods/Rods/SFFA_Rod_004.prefab","",0.048,0.046,1.029
